,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
13,-3.13778e-11,-2.95588e-11,-2.93314e-11,-1.86448e-11,-1.65984e-11,1.13688e-12,-7.95813e-12,8.41288e-12,-4.5475e-12,1.819e-12,-5.00225e-12,-1.819e-12,-1.15961e-11,-3.18325e-12,-2.11459e-11,-1.43246e-11,-2.45565e-11,-1.15961e-11,-2.0009e-11,-1.31877e-11,-2.56933e-11,-2.29649e-11,-4.02454e-11,-2.7285e-11,-4.38833e-11,-2.97862e-11,-4.57023e-11,-2.84218e-11,-4.29738e-11,-2.79671e-11
14,-3.34242e-11,-3.11504e-11,-3.00135e-11,-2.13732e-11,-1.68258e-11,-2.04638e-12,-5.457e-12,0.0,-2.04638e-12,4.54751e-13,-4.5475e-12,-5.68437e-12,-7.95813e-12,-8.41288e-12,-1.70531e-11,-1.90995e-11,-2.47838e-11,-2.02364e-11,-2.04637e-11,-2.5466e-11,-2.50112e-11,-3.68348e-11,-4.04727e-11,-3.95632e-11,-4.25191e-11,-4.32012e-11,-4.34286e-11,-4.02454e-11,-4.93403e-11,-2.93314e-11
15,-3.38789e-11,-3.04683e-11,-3.13778e-11,-2.22827e-11,-1.93269e-11,-1.31877e-11,-9.32238e-12,-8.86763e-12,-5.68437e-12,-2.50112e-12,-6.82124e-12,-9.095e-12,-1.13687e-11,-1.86448e-11,-2.0009e-11,-2.38743e-11,-2.63755e-11,-2.43291e-11,-2.34196e-11,-2.84218e-11,-2.75123e-11,-3.8199e-11,-4.16096e-11,-4.66118e-11,-4.3656e-11,-4.93403e-11,-4.38833e-11,-4.97951e-11,-4.43381e-11,-3.02409e-11
16,-3.50158e-11,-3.13778e-11,-3.43336e-11,-2.41017e-11,-2.25101e-11,-1.04592e-11,-1.20509e-11,-3.86538e-12,-8.86763e-12,-3.86538e-12,-9.54975e-12,-7.95813e-12,-1.40972e-11,-1.4552e-11,-2.31922e-11,-2.34196e-11,-2.93314e-11,-2.25101e-11,-2.43291e-11,-2.43291e-11,-2.68302e-11,-3.54705e-11,-3.77443e-11,-4.20644e-11,-4.13822e-11,-4.43381e-11,-4.25191e-11,-4.61571e-11,-4.38833e-11,-4.50202e-11
17,-3.66074e-11,-3.29694e-11,-3.79716e-11,-2.5466e-11,-2.56933e-11,-6.36649e-12,-1.56889e-11,-3.18325e-12,-1.18235e-11,-3.18325e-12,-1.31877e-11,-5.68437e-12,-1.68258e-11,-1.18235e-11,-2.43291e-11,-2.20554e-11,-2.93314e-11,-2.31922e-11,-2.59207e-11,-2.52386e-11,-2.77397e-11,-3.638e-11,-3.88811e-11,-4.07001e-11,-4.07001e-11,-4.25191e-11,-4.07001e-11,-4.43381e-11,-4.38833e-11,-4.91129e-11
18,-3.75169e-11,-3.43336e-11,-4.11549e-11,-2.70576e-11,-3.04683e-11,-1.0914e-11,-1.95542e-11,-8.41288e-12,-1.61436e-11,-5.457e-12,-1.56889e-11,-9.54975e-12,-1.70531e-11,-1.47794e-11,-2.22827e-11,-2.50112e-11,-2.79671e-11,-2.56933e-11,-2.70576e-11,-2.56933e-11,-2.81944e-11,-3.52431e-11,-3.84264e-11,-4.13822e-11,-4.07001e-11,-4.34286e-11,-4.1837e-11,-4.38833e-11,-4.13822e-11,-4.43381e-11
19,-3.95632e-11,-3.59253e-11,-4.07001e-11,-3.06957e-11,-3.2742e-11,-1.50068e-11,-2.13732e-11,-1.13687e-11,-1.79626e-11,-9.54975e-12,-1.54615e-11,-1.31877e-11,-1.31877e-11,-1.77353e-11,-1.50068e-11,-2.7285e-11,-2.13732e-11,-2.81944e-11,-2.79671e-11,-2.68302e-11,-3.04683e-11,-3.43336e-11,-3.91085e-11,-4.02454e-11,-4.13822e-11,-4.16096e-11,-4.11549e-11,-4.1837e-11,-4.09275e-11,-4.29738e-11
20,-3.88811e-11,-3.88811e-11,-3.75169e-11,-3.50158e-11,-2.77397e-11,-1.88721e-11,-1.65984e-11,-1.47794e-11,-1.20509e-11,-1.31877e-11,-1.04592e-11,-1.56889e-11,-5.68437e-12,-1.88721e-11,-6.59386e-12,-2.79671e-11,-1.40972e-11,-2.84218e-11,-2.7285e-11,-2.68302e-11,-3.06957e-11,-3.52431e-11,-3.93359e-11,-4.04727e-11,-3.91085e-11,-4.20644e-11,-3.91085e-11,-4.22917e-11,-4.07001e-11,-4.27465e-11
21,-3.91085e-11,-3.93359e-11,-3.16052e-11,-3.75169e-11,-2.20554e-11,-2.20554e-11,-1.18235e-11,-1.88721e-11,-8.86763e-12,-1.6371e-11,-8.41288e-12,-1.68258e-11,-5.22962e-12,-1.819e-11,-8.18551e-12,-2.52386e-11,-1.52341e-11,-2.68302e-11,-2.70576e-11,-2.88766e-11,-3.06957e-11,-3.56979e-11,-3.66074e-11,-4.04727e-11,-3.75169e-11,-4.20644e-11,-3.75169e-11,-4.09275e-11,-4.07001e-11,-4.13822e-11
22,-4.04727e-11,-4.0018e-11,-2.88766e-11,-3.88811e-11,-2.1828e-11,-2.3647e-11,-1.95542e-11,-1.79626e-11,-1.75079e-11,-1.59163e-11,-1.56889e-11,-1.18235e-11,-1.52341e-11,-1.04592e-11,-1.88721e-11,-1.56889e-11,-2.38743e-11,-2.20554e-11,-2.93314e-11,-3.0923e-11,-3.0923e-11,-3.638e-11,-3.4561e-11,-4.0018e-11,-3.61526e-11,-4.11549e-11,-3.59253e-11,-4.07001e-11,-3.91085e-11,-4.16096e-11
23,-4.52476e-11,-3.75169e-11,-4.04727e-11,-3.38789e-11,-4.02454e-11,-1.95542e-11,-3.97906e-11,-1.31877e-11,-4.07001e-11,-1.20509e-11,-3.66074e-11,-6.82124e-12,-3.11504e-11,-5.00225e-12,-2.70576e-11,-1.00045e-11,-2.7285e-11,-1.90995e-11,-2.93314e-11,-2.95588e-11,-3.00135e-11,-3.50158e-11,-3.20599e-11,-3.86537e-11,-3.13778e-11,-3.91085e-11,-3.0923e-11,-3.88811e-11,-3.68348e-11,-4.09275e-11
24,-4.57023e-11,-3.31968e-11,-5.00224e-11,-2.5466e-11,-4.79761e-11,-1.40972e-11,-4.38833e-11,-1.25056e-11,-4.16096e-11,-9.54975e-12,-3.68348e-11,-8.86763e-12,-2.81944e-11,-7.04861e-12,-2.31922e-11,-1.31877e-11,-2.34196e-11,-2.06911e-11,-2.50112e-11,-3.06957e-11,-2.66028e-11,-3.41063e-11,-2.70576e-11,-3.72895e-11,-2.56933e-11,-3.68348e-11,-2.3647e-11,-3.77443e-11,-3.56979e-11,-3.93359e-11
25,-4.04727e-11,-3.29694e-11,-4.25191e-11,-2.79671e-11,-3.97906e-11,-2.13732e-11,-3.75169e-11,-2.7285e-11,-3.47884e-11,-2.11459e-11,-3.0923e-11,-2.34196e-11,-2.38743e-11,-2.0009e-11,-1.79626e-11,-2.5466e-11,-1.819e-11,-2.70576e-11,-1.90995e-11,-3.25147e-11,-1.90995e-11,-3.25147e-11,-1.819e-11,-3.47884e-11,-2.04637e-11,-3.47884e-11,-2.13732e-11,-3.56979e-11,-3.04683e-11,-3.84264e-11
26,-3.41063e-11,-4.32012e-11,-3.75169e-11,-4.38833e-11,-3.56979e-11,-4.0018e-11,-3.38789e-11,-4.32012e-11,-2.97862e-11,-3.88811e-11,-2.56933e-11,-3.43336e-11,-1.84174e-11,-2.81944e-11,-1.20509e-11,-2.81944e-11,-1.15961e-11,-2.84218e-11,-1.11414e-11,-3.04683e-11,-1.20509e-11,-3.06957e-11,-1.54615e-11,-3.18325e-11,-1.75079e-11,-3.0923e-11,-1.79626e-11,-3.11504e-11,-2.3647e-11,-3.61526e-11
27,-3.06957e-11,-4.84308e-11,-3.54705e-11,-4.79761e-11,-3.29694e-11,-4.47928e-11,-3.13778e-11,-4.0018e-11,-2.77397e-11,-3.70621e-11,-2.27375e-11,-3.06957e-11,-1.6371e-11,-2.43291e-11,-7.73076e-12,-2.34196e-11,-8.18551e-12,-2.38743e-11,-8.86763e-12,-2.45565e-11,-9.32238e-12,-2.22827e-11,-1.38698e-11,-2.50112e-11,-1.56889e-11,-2.27375e-11,-1.72805e-11,-2.27375e-11,-2.25101e-11,-3.41063e-11
28,-3.00135e-11,-4.25191e-11,-3.56979e-11,-4.07001e-11,-3.34242e-11,-3.79716e-11,-3.06957e-11,-3.47884e-11,-2.81944e-11,-3.29694e-11,-2.29649e-11,-2.45565e-11,-1.4552e-11,-1.90995e-11,-8.86763e-12,-1.84174e-11,-7.95813e-12,-1.77353e-11,-8.86763e-12,-1.65984e-11,-1.06866e-11,-1.56889e-11,-1.2733e-11,-1.84174e-11,-1.59163e-11,-2.06911e-11,-1.70531e-11,-2.06911e-11,-2.16006e-11,-2.77397e-11
29,-3.04683e-11,-3.47884e-11,-3.4561e-11,-3.43336e-11,-3.20599e-11,-3.31968e-11,-3.04683e-11,-2.81944e-11,-2.70576e-11,-2.63755e-11,-2.16006e-11,-1.72805e-11,-1.4552e-11,-1.20509e-11,-8.64026e-12,-9.77712e-12,-7.50339e-12,-9.54975e-12,-9.095e-12,-8.86763e-12,-9.54975e-12,-1.06866e-11,-1.36425e-11,-1.54615e-11,-1.59163e-11,-1.68258e-11,-1.75079e-11,-1.75079e-11,-2.25101e-11,-2.09185e-11
